Phylum,2021-CF2A-112,2021-CF2A-114,2021-CF2A-122,2021-CF2A-124,2021-CF2A-1312,2021-CF2A-1314,2021-CF2A-1322,2021-CF2A-1324,2021-CF2A-1332,2021-CF2A-1334,2021-CF2A-134,2021-CF2A-312,2021-CF2A-314,2021-CF2A-322,2021-CF2A-324,2021-CF2A-3312,2021-CF2A-3314,2021-CF2A-332,2021-CF2A-3324,2021-CF2A-3332,2021-CF2A-3334,2021-CF2A-334,2021-CF2E-111,2021-CF2E-112B,2021-CF2E-112P,2021-CF2E-311,2021-CF2E-312B,2021-CF2E-312P,2021-CF2H-112,2021-CF2H-132,2021-CF2H-314,2021-CF2H-324,2021-JF2A-112,2021-JF2A-114,2021-JF2A-122,2021-JF2A-124,2021-JF2A-1312,2021-JF2A-1314,2021-JF2A-132,2021-JF2A-1322,2021-JF2A-1324,2021-JF2A-1332,2021-JF2A-1334,2021-JF2A-134,2021-JF2E-111,2021-JF2E-112B,2021-JF2E-112P,2021-JF2H-114,2021-JF2H-122,2021-JF2H-124,2021-JF2H-412,2021-JF2H-414,2021-JF2H-422,2021-JF2H-424,2021-KF2A-212,2021-KF2A-214,2021-KF2A-222,2021-KF2A-224,2021-KF2A-2312,2021-KF2A-2314,2021-KF2A-2322,2021-KF2A-2324,2021-KF2A-2332,2021-KF2A-2334,2021-KF2A-234,2021-KF2A-242,2021-KF2E-211,2021-KF2E-212B,2021-KF2E-212P,2021-KF2H-212,2021-KF2H-214,2021-KF2H-222,2021-KF2H-224,2021-KF2H-232
Firmicutes_A,3.949462296,43.38174925,5.057426444,15.38582158,2.995908645,34.68936401,2.966454977,31.76786563,5.451842721,48.17129641,35.59760366,4.846213344,53.32757405,3.957961005,55.76206423,9.732180165,35.02271414,1.974255869,42.14004769,14.10447015,32.78143239,51.45547158,32.22136913,3.222925103,10.26486402,7.906522719,13.8896249,27.10263302,0.359498998,1.109043626,69.36836415,69.53765234,3.396122977,44.46957169,2.913312194,58.1676452,5.872436257,37.34614597,1.500237697,3.915437038,26.24903895,3.769720081,39.85175861,61.08841219,1.042691811,25.2979498,29.09359216,42.22576684,2.81723321,62.23134178,0.109979061,62.09380486,0.113811268,56.22072458,2.25993499,44.93707601,2.372691437,34.40298115,14.98585878,27.2497045,13.71738093,27.37978491,10.60157546,23.37858711,54.05803282,1.845866458,37.17171921,27.22732322,26.73670145,0.387934065,10.34391822,0.859120388,16.00097974,1.407913442
Actinobacteriota,48.19382923,0.511617733,48.02092856,0.76312125,31.57069854,1.127721958,36.54844484,0.685953542,35.92233542,0.334914421,2.717258538,49.12369842,0.539661017,32.9272961,0.629472721,6.921060242,0.865504144,72.86862319,0.390624024,10.00767989,0.98404596,0.725197303,17.43790735,73.24945282,35.12704705,22.36920695,27.33739686,30.08187041,15.76966156,22.49760773,1.377017852,1.130168307,52.59452143,0.194686686,44.36752729,0.294958285,46.55022971,0.700438785,36.45290054,46.97416633,0.392878763,49.4946639,0.588911294,1.393452516,30.63322115,38.66262505,24.33445243,0.861249676,83.51551518,1.008710695,5.954170736,3.931179606,2.05982847,4.354401444,20.77123854,0.19278178,21.91226899,0.44742192,17.86860288,3.130216805,20.78209459,2.55432378,26.26143884,0.675685993,0.14629559,29.47491411,18.38550824,27.54612305,19.63278018,27.24085182,0.251310584,7.8924483,3.622067503,38.08118027
Bacteroidota,12.36928556,22.68213856,14.16199888,78.87901944,2.225548906,41.67035159,5.515146349,47.37780184,2.786308912,29.71261798,49.96214067,3.176261013,31.20288839,2.731857753,28.74895011,3.239533427,39.99428559,0.638492153,27.54781858,2.880463906,38.84709252,28.8378019,15.20958496,0.918500565,3.032439783,14.97993571,10.49328436,6.033403806,0.148411509,0.189907475,16.41373574,17.14458138,15.54909767,27.36141826,10.98643424,21.72095604,1.07955376,37.33587951,10.59200949,1.171360812,50.56141983,1.473265188,32.95146525,11.21698397,5.434590212,2.451335676,7.302471134,43.29312629,1.377381692,25.57939464,0.049468641,24.58355109,0.058591897,28.16419042,5.075067552,30.13499124,3.400104015,40.62161471,2.541362688,32.78816266,3.681857357,32.33107219,3.194103536,43.03562887,27.25500516,3.282962541,5.099006763,2.312660487,5.802761287,0.079254745,79.01501625,0.159667874,56.94681703,0.534517909
Proteobacteria,15.51243802,11.7559189,13.841763,0.164425921,26.73961709,1.439207592,27.7180682,1.258515029,31.45516924,1.781830443,0.301913459,20.13004422,0.930579303,36.6580194,0.85270621,14.96697253,1.508871652,9.255965423,2.890991095,15.0767255,2.541413127,1.219931576,3.59386721,0.755949188,2.094405213,22.54234087,18.62494151,8.737255609,82.85924314,73.69247603,0.938588456,1.059748828,12.86370871,0.549725147,25.56434644,1.676214757,18.6207196,1.055931927,29.39965392,18.62835192,1.148173152,18.75790524,1.5859046,0.655675813,20.99678839,1.838610856,2.002554726,0.150248099,2.906207131,0.344213616,91.22875992,0.335952378,97.27163919,0.293033789,37.70281905,0.504199905,39.95321828,3.746663693,30.32593208,4.704426228,32.21035293,5.20593825,28.67223013,3.113777954,1.237939392,36.47652642,7.840334259,1.416389477,1.527814881,70.94081418,3.306534802,80.91384154,5.221928102,57.07878538
Firmicutes,19.19779272,13.03146473,17.62009325,2.822814038,35.26408685,8.26671054,26.18032506,8.425682423,22.50754927,8.468401823,5.974125193,21.20648066,3.404731578,22.61257448,3.468097243,61.10982975,12.18439588,14.53810584,12.80846676,52.66502379,8.778708775,3.507504888,25.78021119,20.96444883,47.89028762,4.853965639,25.04955154,19.06289389,0.727444313,2.355987287,0.514587399,0.528848367,14.42420273,9.701967076,15.33063474,7.891865193,27.34157177,8.029327146,21.57346201,28.73625229,12.03636691,26.01937165,11.5061149,15.63227022,0.273270717,26.33839453,31.89818592,0.247368917,5.34159866,0.352987087,2.448933313,0.425151137,0.423345766,0.687817793,32.71783936,8.229249613,31.26294111,4.232480743,30.42638095,11.17913776,25.45204244,11.79103614,28.10939723,9.745541597,5.935795999,28.10107956,16.29821138,34.01189155,39.42722962,1.255648664,0.25055426,9.920307138,0.194563465,2.453717925
Firmicutes_C,0.133357418,1.949560683,0.364047623,1.834027415,0.451973948,8.352476689,0.108472038,5.137827113,1.254216617,5.530311467,4.49694076,0.221584839,1.144374546,0.200276753,1.432779795,3.08115541,7.614753065,0.142359758,7.323644692,3.825989204,12.37060237,3.638061815,2.981221873,0.043437887,0.369316085,0.101383841,2.43824627,0.972894036,0.031374193,0.0458337,11.07954906,10.17713104,0.301559661,2.63559714,0.226988966,1.287581777,0.091591289,12.74905868,0.100170474,0.116353033,4.0127025,0.061412651,9.530098837,3.095718141,0.046414174,1.200385134,1.104106888,12.08126961,0.106871059,9.753935598,0.007683385,7.682887798,0.007924091,9.021434732,0.534301337,1.18071051,0.404848458,6.83491191,1.430146076,19.65557241,2.250230767,19.46318451,1.779682153,17.88358745,3.457599006,0.256064381,2.617184402,3.81288278,0.884608527,0.010867407,6.360883287,0.089880772,17.81567735,0.239064561
Spirochaetota,0.145934964,0.505603629,0.180384379,0.033932956,0.031439256,1.865443828,0.029676831,1.287699796,0.088945476,3.973756903,0.737432459,0.19148665,4.811604952,0.104146594,4.8246264,0.043225195,1.176325161,0.039843576,3.238123196,0.053716738,0.891940289,6.061139091,0.086726717,0.006521819,0.067477504,1.198261127,0.342715915,0.909520497,0.005918057,0.0070479,0.019340926,0.023599951,0.253042622,12.46300232,0.112669289,5.16171466,0.009813183,1.318967032,0.097158901,0.007481053,3.417177233,0.008972128,1.78180637,3.523472153,0.026815891,0.131533881,0.98206142,0.015597861,0.09830243,0.026717298,0.002970669,0.024756692,0.003990736,0.026302346,0.064497289,9.331493313,0.04888638,6.287079413,0.059596958,0.107648514,0.093400738,0.155576137,0.072609043,0.861493169,5.134205476,0.043658204,0.087615893,0.104323038,0.645395066,0.00442685,0.015040494,0.006945329,0.009270841,0.02037341
Methanobacteriota,0.220493567,0.1811349,0.325119917,0.004569936,0.244570479,0.062057833,0.307567604,0.428194468,0.317216457,0.244304383,0.007192789,0.422704697,0.46520599,0.369278756,0.703261278,0.56938691,0.205658294,0.423350536,1.16171872,1.03018569,0.202833002,0.532179569,0.873982516,0.066123839,0.317469229,0.12721315,0.610612363,5.025877516,0.005695574,0.014441158,0.028894341,0.0234618,0.258050801,0.460098302,0.209080565,0.755658999,0.312339384,0.181310935,0.091686315,0.182440128,0.581660833,0.236420784,0.625848509,1.855192063,0.020722956,3.455489669,2.194427333,0.001807019,0.046776852,0.00516632,0.001196494,0.036459913,0.001751024,0.08394126,0.251881919,0.121691842,0.264397062,0.626173012,1.676527633,0.529935457,1.249081486,0.338413671,0.926738999,0.248418087,0.213260641,0.175654995,4.216213873,3.116140852,4.502548365,0.001381414,0.00165237,0.052393464,0.000810356,0.044811292
Verrucomicrobiota,0.024665738,0.340584202,0.072838769,0.011828809,0.02159182,0.838037502,0.014816777,2.079869888,0.052570446,0.758391586,0.014972344,0.109990408,2.146040638,0.069631082,2.07837814,0.035346267,0.293932073,0.013105008,0.607445836,0.050361599,0.562255559,2.397690695,0.062323424,0.007805396,0.034594778,1.027886688,0.12095638,0.349045599,0.008353714,0.008001365,0.0089669,0.011131608,0.031831228,1.367331562,0.021655835,1.759957817,0.00673626,0.533491516,0.009871134,0.007991459,0.57769881,0.006082663,0.500449552,0.864460237,3.113202773,0.074632502,0.45455558,0.007047994,0.096818716,0.011672567,0.006886314,0.014029832,0.005443971,0.013507845,0.012897499,3.58210801,0.012056039,1.416227244,0.029717159,0.043553352,0.117776257,0.077714918,0.068290333,0.103694567,1.721713776,0.011300291,0.046069709,0.050898508,0.315218024,0.007798758,0.127196369,0.005259641,0.00751707,0.013239163
Chloroflexota,0.010359357,0.006493993,0.012938174,0.002735013,0.006673609,0.004523655,0.005064808,0.006280225,0.004242919,0.005801876,0.003902444,0.014205211,0.004895734,0.007856415,0.006042232,0.010964991,0.005001051,0.005091563,0.00628213,0.010711966,0.005670012,0.006940782,0.013967784,0.007601373,0.012046897,5.971617129,0.027407454,0.044348486,0.00463868,0.004775624,0.002680514,0.003884096,0.018820495,0.004185744,0.012362183,0.004512344,0.005296633,0.006188975,0.008426758,0.010804349,0.005536538,0.004779583,0.007733332,0.009565054,19.85218701,0.098701756,0.015567295,0.002194392,0.131842919,0.003309308,0.007347253,0.00294158,0.002722342,0.00425778,0.006608898,0.007578975,0.006414632,0.005819482,0.013344522,0.004626387,0.011529027,0.007115364,0.010553603,0.006679321,0.00657295,0.006164762,0.092652258,0.016364477,0.010433503,0.004652081,0.002613771,0.004391661,0.002197813,0.005713239
Desulfobacterota_I,0.062295176,0.636413685,0.089150746,0.00723575,0.020761014,0.239937847,0.015883017,0.197744398,0.026459943,0.174333542,0.035160136,0.151313448,0.014823753,0.065871439,0.01517794,0.075200102,0.318757937,0.036260941,0.549042718,0.090902283,0.194174532,0.015290525,0.774310279,0.018261309,0.198734838,0.318047018,0.080863198,0.127319153,0.042396657,0.029747082,0.207364274,0.308776671,0.118791265,0.115169468,0.081979177,0.168038417,0.010122233,0.213080205,0.05460492,0.169498092,0.286292777,0.009211864,0.281814598,0.200024505,0.108232883,0.052094579,0.122486418,1.086046426,3.13138939,0.63723137,0.15142687,0.81588368,0.018930468,1.076848945,0.031143953,0.134198316,0.016709401,0.34254185,0.05316337,0.228234567,0.041238606,0.259744317,0.041607462,0.160000071,0.088808725,0.030997549,4.70107475,0.06122316,0.104801447,0.033262347,0.277972314,0.058323035,0.143715267,0.035905702
Campylobacterota,0.009958962,1.909827081,0.016762117,0.010753498,0.314558372,0.323031316,0.426104336,0.094746185,0.009928387,0.196611059,0.052721339,0.08466249,0.190229124,0.087345622,0.136975495,0.013330005,0.39896253,0.006454428,0.216355908,0.015458126,0.331155836,0.103426096,0.29294033,0.018559794,0.102360647,0.645396105,0.533398974,0.962961808,0.001989436,0.004005342,0.002811257,0.004103924,0.014213128,0.105341444,0.027069189,0.017441701,0.008559611,0.082544669,0.00865338,0.003867898,0.041723064,0.007999697,0.256017032,0.053640766,0.003232334,0.024432959,0.064122201,0.002395197,0.023560661,0.00351543,0.002446031,0.003028359,0.002731813,0.00454912,0.030858988,0.097200885,0.027518593,0.48180463,0.070171401,0.063910058,0.074752149,0.065031526,0.051074058,0.0713651,0.062599645,0.01542315,0.733592223,0.018650079,0.090077203,0.001380988,0.013782338,0.002051184,0.001968447,0.027681184
Patescibacteria,0.048478919,0.120511424,0.070027095,0.01230191,0.034428779,0.020195084,0.031301528,0.026497633,0.020659707,0.023474836,0.012373431,0.078975585,0.008418117,0.060518386,0.012175928,0.021578458,0.033923671,0.018215614,0.022376402,0.02408985,0.016821795,0.01770072,0.18409695,0.666384794,0.264389604,3.765964982,0.130550987,0.16543061,0.008273244,0.009115804,0.005464594,0.008919856,0.031830921,0.006764569,0.025251564,0.007554656,0.041407558,0.022142237,0.019623454,0.020967103,0.02447187,0.099423312,0.028369278,0.022631679,2.121788321,0.063728517,0.057872341,0.005208937,0.219900583,0.007467149,0.006173769,0.006055712,0.004642771,0.008665112,0.179251119,0.022487348,0.113537282,0.016695086,0.033782047,0.014174859,0.028929339,0.02517862,0.030728389,0.026991209,0.01319089,0.102693398,0.096778159,0.018956484,0.048221643,0.007381747,0.013410142,0.010637273,0.008170349,0.018740753
Fibrobacterota,0.00427345,0.003520557,0.007367649,0.002085814,0.004337439,0.187416307,0.002957878,0.140328429,0.003844687,0.104011212,0.001518161,0.007501995,1.609868951,0.004437548,1.139522991,0.004185229,0.031976068,0.002811785,0.040246573,0.003745885,0.094299055,1.259678911,0.027668961,0.008294948,0.012426277,0.029997973,0.020557477,0.061439487,0.002092656,0.002120515,0.001989018,0.002330774,0.006388364,0.004930121,0.004189259,0.453326818,0.003982761,0.102720667,0.002293339,0.003209521,0.224792832,0.003728208,0.125274607,0.002930237,0.01189931,0.010446048,0.067388335,0.001318007,0.009574296,0.002319197,0.001640017,0.001890233,0.001668181,0.002347591,0.004148344,0.622972197,0.003474837,0.036198475,0.005237528,0.005400764,0.005150478,0.005680432,0.004135757,0.018017087,0.03495524,0.003552445,0.031775594,0.005506695,0.014618593,0.001527875,0.001562804,0.001603279,0.001434123,0.002958249
Halobacteriota,0.006248868,0.001352276,0.006873935,0.001099872,0.000460726,0.001253835,0.0003243,0.001569182,0.00024028,0.001951902,0.00105359,0.011337236,0.000521,0.002626627,0.001049217,0.00120015,0.001342337,0.002186142,0.001911894,0.001466699,0.001445862,0.001662815,0.027810941,0.001050413,0.007496406,1.074227395,0.003145853,0.015595832,0.001292734,0.000857981,0.000539629,0.000985403,0.018630569,0.00026438,0.007636164,0.0004417,0.0003244,0.001879487,0.006250333,0.000437201,0.001541729,0.000464932,0.002272167,0.001832347,4.02563371,0.07325648,0.002988241,0.000420461,0.034197137,0.000883911,0.0003293,0.000680897,0.000494749,0.00098123,0.003226302,0.002317117,0.001394653,0.001301654,0.001746079,0.000902201,0.001328058,0.002209151,0.001381062,0.001895072,0.000944057,0.001769556,0.392492474,0.001071025,0.002462225,0.001151754,0.0005353,0.000543428,0.0003584,0.001474322
Planctomycetota,0.002193154,1.750084645,0.004045079,0.00116059,0.00399534,0.089538209,0.001085992,0.193107269,0.009578553,0.051359549,0.002315629,0.002757727,0.002556578,0.000868323,0.002778174,0.007814125,0.085322752,0.000672187,0.12870448,0.011826984,0.04766527,0.003097344,0.018974075,0.000866048,0.004063947,1.632388437,0.018597108,0.009485796,0.000560161,0.000730478,0.002724797,0.003469851,0.008080644,0.070801941,0.003275958,0.138228757,0.001490562,0.100361997,0.00215606,0.001834064,0.153915415,0.001321886,0.055617431,0.050906158,0.346818726,0.027206087,0.026408725,0.001345848,0.002703321,0.002365111,0.0002533,0.00244102,0.000355304,0.002410951,0.001719263,0.068431168,0.001695235,0.061282189,0.006176289,0.008450052,0.007478567,0.011663416,0.005218007,0.011344604,0.071702364,0.00134032,0.044175443,0.017620835,0.026042898,0.000429832,0.000310993,0.000670752,0.000633779,0.000806828
Desulfobacterota,0.004193597,0.003534395,0.005065829,0.001619002,0.001920538,0.002095271,0.001203984,0.00294873,0.000421813,0.003002042,0.001414563,0.008711389,0.000986443,0.006659802,0.001806681,0.003282698,0.002943868,0.002118063,0.003205544,0.004095213,0.002454814,0.002704574,0.044253665,0.003648501,0.028079198,4.760965548,0.004727057,0.010630967,0.002027005,0.001376585,0.000787502,0.001549823,0.008513842,0.0006571,0.003819016,0.001027632,0.00027581,0.003080271,0.002828676,0.00035077,0.002161518,0.000622,0.003003185,0.002490363,0.202133007,0.005168326,0.002661439,0.001013362,0.005641185,0.001446056,0.002674279,0.001350942,0.00335802,0.001828364,0.003487956,0.003699632,0.003533026,0.001931363,0.005901811,0.005419801,0.00432037,0.007112827,0.003422398,0.002736785,0.001543845,0.003412485,0.023903617,0.001664749,0.003103543,0.001749893,0.001063442,0.000497148,0.000691859,0.001895905
Synergistota,0.002600375,0.05114726,0.004390231,0.00285681,0.001190341,0.015929278,0.000825968,0.011640349,0.001228269,0.024450001,0.005487152,0.022295241,0.010367463,0.016864603,0.012127543,0.003951627,0.014312906,0.002035503,0.016980474,0.005222761,0.012038246,0.012851662,0.03980911,0.001617509,0.00681274,2.184918444,0.012351069,0.022951334,0.001448529,0.00116506,0.009102841,0.007658195,0.006936098,0.014960021,0.011250659,0.251432995,0.00033458,0.019298696,0.003364702,0.00044211,0.006805124,0.0007684,0.010533467,0.014109161,0.036319884,0.008324564,0.022027785,0.004765262,0.006799635,0.008666942,0.000834095,0.020933894,0.000929849,0.01102477,0.005642897,0.021567855,0.005018037,0.012663095,0.003292592,0.008014575,0.003142915,0.010308325,0.00276342,0.007264692,0.014279136,0.003131298,1.711205863,0.003626383,0.03604548,0.00115385,0.003665064,0.000447567,0.002821142,0.001576197
Acidobacteriota,0.001718286,0.001457276,0.001934006,0.000314734,0.002014838,0.000709754,0.001368684,0.000821002,0.001690272,0.00087468,0.00050496,0.002248961,0.000757305,0.001735901,0.000948991,0.005084674,0.000867735,0.001042404,0.000993456,0.003130637,0.000876787,0.001013065,0.001355711,0.001075122,0.00156439,0.08843618,0.004178239,0.005255084,0.001791176,0.001908697,0.000289618,0.000453891,0.003202082,0.000439742,0.002678723,0.000532824,0.001672228,0.000837259,0.001729083,0.00243401,0.00067443,0.001589358,0.001035629,0.000952038,4.47041886,0.016547631,0.001618038,0.000221816,0.007706101,0.000411278,0.002041352,0.00048655,0.002009163,0.000449181,0.002964083,0.001413705,0.003092689,0.000842742,0.002602332,0.000609412,0.002150148,0.001021016,0.001992113,0.000706168,0.000834206,0.003290455,0.005035095,0.001068398,0.001215026,0.001631792,0.0002249,0.001733463,0.000248327,0.001617397
Myxococcota,0.003174345,0.424240339,0.005057199,0.002151743,0.002958739,0.426687338,0.001812662,0.563371,0.00702898,0.113425652,0.00274379,0.004685392,0.074715287,0.00170554,0.050863022,0.004849353,0.033158768,0.002357632,0.126444814,0.003848834,0.149268964,0.064887282,0.007901177,0.002141676,0.012987119,0.339266966,0.029150992,0.022349331,0.002801149,0.002069544,0.001748764,0.002099166,0.00486028,0.00397609,0.004291032,0.029935967,0.001580036,0.012249439,0.002422874,0.001756432,0.025002378,0.001631138,0.028310754,0.008194389,1.05902474,0.010968638,0.029707005,0.001103483,0.04422293,0.001392373,0.000819555,0.001539574,0.00075781,0.001883528,0.004018869,0.044319261,0.004099922,0.121771573,0.003949178,0.020024528,0.008848477,0.032747836,0.006884393,0.024252229,0.101995379,0.003692699,0.020521578,0.005751563,0.02553054,0.002871492,0.001108539,0.001751818,0.001310904,0.004758828
Other,0.0972458,0.751644486,0.13178729,0.056123497,0.061264503,0.377310712,0.123095128,0.311535612,0.078522082,0.324878254,0.071224927,0.182841108,0.109199429,0.112467774,0.120195622,0.149868719,0.206990422,0.026652167,0.778575038,0.130884417,1.183804904,0.135767926,0.319716617,0.035333006,0.151136649,4.082057127,0.227741488,0.276837793,0.01508694,0.021780945,0.015453938,0.019445306,0.087594315,0.46911156,0.083547129,0.210973909,0.039963134,0.185064615,0.070496355,0.044564177,0.249965511,0.040644509,0.277660592,0.307086018,6.174593132,0.158167301,0.220744588,0.010485888,0.075757068,0.016851846,0.013964378,0.014994074,0.015074092,0.019399947,0.336451949,0.759511321,0.182099952,0.301594045,0.456507506,0.251875272,0.256914259,0.275142669,0.154173674,0.622333045,0.442726362,0.156505098,0.3849292,0.249862398,0.162390482,0.013828913,0.011643651,0.017484141,0.016818014,0.023267846
