Class.1,2021_CF1H_112,2021_CF1H_114,2021_CF1H_124,2021_CF1H_132,2021_CF1H_134,2021_CF1H_314,2021_CF1H_324,2021_CF1H_334,2021_CF2A_112,2021_CF2A_114,2021_CF2A_122,2021_CF2A_124,2021_CF2A_1312,2021_CF2A_1314,2021_CF2A_1322,2021_CF2A_1324,2021_CF2A_1332,2021_CF2A_1334,2021_CF2A_134,2021_CF2A_312,2021_CF2A_314,2021_CF2A_322,2021_CF2A_324,2021_CF2A_3312,2021_CF2A_3314,2021_CF2A_332,2021_CF2A_3324,2021_CF2A_3332,2021_CF2A_3334,2021_CF2A_334,2021_CF2E_111,2021_CF2E_112B,2021_CF2E_112P,2021_CF2E_311,2021_CF2E_312B,2021_CF2E_312P,2021_CF2H_112,2021_CF2H_132,2021_CF2H_314,2021_CF2H_324,2021_JF1H_414,2021_JF1H_424,2021_JF2A_112,2021_JF2A_114,2021_JF2A_122,2021_JF2A_124,2021_JF2A_1312,2021_JF2A_1314,2021_JF2A_132,2021_JF2A_1322,2021_JF2A_1324,2021_JF2A_1332,2021_JF2A_1334,2021_JF2A_134,2021_JF2E_111,2021_JF2E_112B,2021_JF2E_112P,2021_JF2H_114,2021_JF2H_122,2021_JF2H_124,2021_JF2H_412,2021_JF2H_414,2021_JF2H_422,2021_JF2H_424,2021_KF1H_112,2021_KF1H_114,2021_KF1H_122,2021_KF1H_124,2021_KF1H_212,2021_KF1H_213,2021_KF1H_224,2021_KF1H_234,2021_KF2A_212,2021_KF2A_214,2021_KF2A_222,2021_KF2A_224,2021_KF2A_2312,2021_KF2A_2314,2021_KF2A_2322,2021_KF2A_2324,2021_KF2A_2332,2021_KF2A_2334,2021_KF2A_234,2021_KF2A_242,2021_KF2E_211,2021_KF2E_212B,2021_KF2E_212P,2021_KF2H_112,2021_KF2H_212,2021_KF2H_213,2021_KF2H_222,2021_KF2H_224
MDR,1437.688717845,48.311942168,47.983011997,18.626534844,50.298385919000005,14.597105123,12.061145525,73.220964497,111.702313272,235.752231062,104.85949707500001,115.467905096,386.344975577,71.51280217200001,268.81112272400003,77.581506854,115.15700493199999,57.841355705,53.590997783999995,731.637185894,98.957162066,1442.398563753,92.60814084500001,261.427737384,73.46529200399999,304.833897201,88.066539514,262.062941585,48.807700332,89.049374068,179.50890308400002,114.740309799,192.397811094,54.663344592,153.73297194900002,181.983116797,2110.187248895,1914.034522465,19.231168568,6.0594786119999995,194.966175004,18.158251049,187.046700609,112.587514959,289.191451169,159.857614485,257.406495548,109.48819139300001,225.30002605,240.914812072,141.27471133699999,222.960479032,107.59900929,49.427171118000004,13.259383985,118.556412491,700.78343512,5.53040183,115.737909658,14.936603553,2352.688272029,12.282347228999999,2603.790572981,14.180254866,2285.101052336,17.821192696,231.85745938,105.379449013,1299.632804029,484.987872052,156.123026872,548.24174025,315.624632506,46.228630726999995,318.982841295,50.424543659,620.036696412,50.538708593,691.278640508,49.296019361,593.1997971559999,72.64124280499999,40.48668260400001,351.882116564,83.31203687200001,147.134627851,193.87581680300002,1627.261168276,1742.741668839,203.231990583,2150.940656311,82.098949631
MLS,3.644811109,62.712738212999994,57.91420814200001,21.648684327999998,51.7649869,55.940035576,57.491234915999996,92.157467449,247.760751148,167.24131377199998,222.510024558,160.461181506,706.520861688,246.37991876599997,519.6906050599999,232.404782272,504.015652118,287.663764007,197.850526538,575.887380356,247.29187803,706.5189819390001,250.29820034,164.81877790800002,200.206555299,489.46786544900004,212.582718872,182.057585078,135.011409079,234.00691198,474.676091647,627.4636711699999,1513.107320285,51.944008376,205.040793058,322.46017743,18.4175995,22.695210386,84.081854819,94.22290195,22.615640245999998,64.23101399699999,456.60842592,179.217630329,585.354882708,193.67511725399999,794.144675495,122.585006167,536.5444403280001,416.30994503200003,133.477835502,733.852899013,155.839800654,260.652405123,13.521903201,496.03967488099994,1205.529932717,106.974742532,35.19385752,103.059415629,2.058441447,111.15431919800001,4.234595505,119.203206276,2.652903521,68.006881911,13.777937391,74.53668737800001,39.748885967,77.574941128,47.238572391,77.609698818,389.25695576000004,116.683064612,411.529780136,99.76065403300001,412.57698127699996,140.738900508,316.157993605,144.121897467,345.042435095,149.020616047,94.00684452,372.20167802599997,145.444448576,395.100821497,880.2051071060001,69.821327714,35.277547667,116.10003126699999,13.496771335,54.426210709
Other,88.80396864,0.34878714,0.323661218,0.121500397,0.182236727,0.101370126,0.144365571,0.096238242,148.7999005,26.82066843,141.0832782,0.326371281,60.67500063,0.0,66.17368051,0.144205226,19.65701745,0.312166697,0.053182358,115.6035692,0.361482858,138.242107,0.351006287,11.5411247,0.721074185,213.015073,3.605630034,15.13862107,0.027137717,0.236679073,54.23151166,302.0634966,69.47652492,49.66249914,79.63585575,76.14211011,111.7294979,115.5083461,0.166622245,0.031957002,12.30772367,0.816068778,98.79454072,0.57510302,80.65576232,0.71210124,61.14373996,0.072521355,37.19960703,55.51757925,0.099107825,87.47411418,0.15271583,0.188523784,30.44807323,81.72235904,80.05339441,0.033096495,13.51659022,0.063143936,116.9217866,0.139692461,118.4029999,0.15238437,128.730377,0.336016262,0.033442834,1.098648322,0.149285746,3.301767872,1.82884022,3.678746451,78.67411097,0.31957193,96.95418649,0.01524968,68.0336084,0.065864955,66.93679871,0.324469922,82.05194902,0.115209248,0.212938534,131.407295,42.63723272,87.37182925,82.49686386,93.73629669,103.635552,7.372403547,122.1997681,0.59698369
aminoglycoside antibiotic,122.3361595,8.292018636,8.595387899,5.702167883,15.58441411,5.461885876,7.992205882,27.03394242,1005.347663,552.16777056,929.9457237,96.70540679,1076.969068641,87.19561909,795.191812271,80.48416817,432.3831933,119.6098669,247.3180518,890.3147902,249.0088116,1131.359617363,251.8529684,233.9978282,125.7120824,797.1112445,164.4444771,222.943361564,77.00700702,233.8272809,640.9288839,1335.2633074990001,1389.399067027,110.506644845,439.171995797,462.609709239,188.1264128,175.0283408,24.07358617,23.71612663,24.270628281999997,16.38442931,722.3088937,147.59633509,1031.013038,178.59512251200002,856.5954996,192.1667945,1119.384395,679.5223377,145.4942459,851.356158,227.7598462,203.174403,56.7485866,380.50563249100003,1196.60689464,7.79160375,53.77074656,16.71788919,186.8391826,15.96387671,216.8363067,18.73742341,191.8267359,3.483582641,324.358695,32.47811309,553.9744357,54.819983177999994,18.99666802,62.200319841,1852.076864,144.8927621,1860.3407874319998,118.5126497,1831.81458,123.4892537,1712.857796499,136.1045176,1664.9392644969998,177.3332286,201.0146368,2104.083091,241.90378114799998,800.7798382,1874.713379,182.864554,175.9408296,37.05905903,220.9660355,14.75889184
antibacterial free fatty acids,0.0,0.0,0.0,0.072773675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128019509,0.0,0.059822989,0.0,0.024193565,0.0,0.0,0.0,0.0,0.0,0.0,0.04640907,0.0,0.0,0.0,0.0,0.0,0.0,0.021412663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034694662,0.0,0.139963941,0.0,0.065774876,0.0,0.088628253,0.0,0.127501216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beta-lactam,60.380325825,91.375974752,72.260381279,10.230598944,87.65947777,49.555438390999996,41.531748367,130.030297791,129.32557404,35.87911552,124.116364272,61.56346829,101.702214289,59.460277837,143.115617914,55.42412822399999,132.08940163,27.937733471,46.039002932,100.704582224,32.895100436999996,165.967052147,32.067394673,58.815006307000004,51.492666809,55.045592211,38.643211048,59.863519368999995,51.600596292999995,49.641364976999995,23.56268166,4.096410179,6.920339467,4.700774631000001,23.049804293,18.190223232,102.420008104,82.225974223,33.104713468,36.87299577,22.655626057,12.568037074,100.23202230400001,22.066312745,130.47003335099998,18.945985835000002,68.242378139,72.79225345900001,161.67072554,74.667235195,47.507197063999996,70.64669053200001,66.421344098,22.02379819,1.289896798,9.427758465,61.44204891099999,74.491751556,2.116280293,31.91207758,96.20667025699998,28.99877652,101.981665802,40.963309638,104.349842309,16.969735270999998,938.07111562,30.301916196,264.49891584,63.434637480999996,30.379633827,67.483749741,319.449664014,12.014723645,305.327971317,52.276313195,244.51364413500002,67.753411242,290.63973968899995,71.040007176,247.633622744,99.412105181,15.530001409,330.417284212,8.303009989,21.478310742,12.935030954,79.961987592,75.766780381,83.859717898,110.73261938,99.890905672
fosfomycin,165.4268014,1.33701737,0.966592901,0.100521911,0.640610908,0.349726935,0.191335575,0.170525782,0.0,4.131152601,0.0,0.0,13.89130247,0.0,6.379927604,0.0,1.465665392,0.029108866,0.0,23.80353663,0.29986805,67.06039442,0.318170301,5.277868088,0.057099145,16.87742977,1.05601187,7.169382316,0.0,0.412776639,0.278212836,0.12574526,1.404465416,0.048371213,1.456687956,1.076878302,237.9382384,223.2044066,0.912157329,0.089553155,18.96352449,0.850560701,1.7487498,0.840274158,5.523224989,1.733748487,50.368217,0.234842363,1.362677422,17.96169419,0.0,42.67388279,0.066611425,0.161573568,0.0,10.96627129,8.430558986,0.0,0.0,0.26908945,196.658901,0.267292904,207.9979301,0.209528509,259.7599534,0.037207683,0.0,3.139161608,0.35303215,15.20862868,13.14087345,17.1657383,1.897926239,0.056254873,3.400958573,0.0,11.3916499,0.183623512,21.06651586,0.109697593,15.00310256,0.176654181,0.0,2.186036335,0.051900119,0.20200356,0.244246306,193.8369565,208.2583638,3.599840251,249.6917262,1.75123221
fusidic acid,0.244860287,0.0,0.0,1.641207863,0.0,0.0,0.0,0.0,3.150449302,0.024613176,8.086191257,0.0,3.546522086,0.0,0.428973994,0.0,2.157330958,0.0,0.024915291,0.534137144,0.0,0.480680007,0.0,0.137709157,0.0,2.496907846,0.0,0.111608771,0.0,0.0,0.30665871,15.79884806,24.85528068,0.0,0.553689451,1.227310949,1.148722953,2.282302875,0.0,0.0,0.0,0.142942915,7.389046991,0.0,12.23691049,0.0,31.53564004,0.0,11.38287754,28.32206575,0.0,26.0534671,0.0,0.0,0.0,8.103663952,43.46684862,0.0,18.57954999,0.0,0.273516741,0.0,0.250948087,0.0,1.226627961,0.0,13.44449026,0.0,212.7941064,0.0,0.0,0.0,1.073771387,0.0,2.259219777,0.0,6.327137157,0.043760743,1.584982152,0.0,1.012573484,0.0,0.02413099,1.231160453,0.02473744,0.436277355,3.964344278,2.199673757,1.853623954,0.0,3.472600118,0.0
glycopeptide antibiotic,0.0,0.698461309,0.844532275,0.0,0.185830308,0.547384011,0.538268579,0.183189832,0.0,4.072435537,0.0,0.015602961,0.1013609,0.91558399,0.170674506,0.721548865,0.270239633,0.558504565,5.104659291,8.171376294,1.851933581,6.93166236,2.316268695,0.373663257,1.177036491,0.298459305,0.69823123,0.498080372,0.464070756,1.7240821,1.183795403,1.505641242,0.618301511,1.172277403,2.795450812,1.769861362,0.0,0.0,0.51458119,0.439687276,0.218611646,0.557762368,0.611182761,2.065787426,1.414856365,1.780027496,0.184765728,0.991428651,0.0,0.294121425,0.434655835,0.129587788,0.813300944,1.036438176,2.757896428,0.940865628,2.205070746,0.175473143,0.0,0.498027009,1.182002115,1.17087585,0.0,0.738374053,0.0,5.581762451,0.0,2.014036309,0.0,2.103901885,0.952064404,2.062091686,0.319999437,0.381391965,0.743594574,0.600439151,0.295163074,0.128845344,0.328892022,0.132932561,0.352012227,0.729853384,2.094676303,0.195681511,1.271917019,0.665986,1.36814995,0.14345031,0.0,1.069955916,0.0,0.076341817
mupirocin,0.050932853,0.004632251,0.0,0.941509426,0.0,0.0,0.0,0.0,0.0,0.010197908,0.0,0.011116921,0.011547214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010559213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.150550035,5.215435012,0.0,0.0,0.0,0.08320127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.360431782,0.007347887,23.82821512,0.0,495.4671454,0.005306443,0.0,0.0052844,0.017061847,0.0,0.007647809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.955592991,0.340207292,0.0,1.157683958,0.0
necleoside,0.0,0.026583971,0.032700655,0.155250508,2.059795692,0.029359792,0.100083224,0.862248311,126.3956337,89.72335185,103.3589743,22.77836224,54.35575493,26.55829737,53.66934452,22.23430955,17.54668418,37.97154501,46.89085431,56.52859347,79.98843934,55.83969708,81.60940956,12.96782336,35.59180049,16.46739261,44.99830519,15.25329853,22.22836458,75.89374798,58.73192368,13.36584527,13.79811511,2.527486021,15.83073658,29.54368173,0.100760285,2.160439099,9.246212209,9.815931044,0.772194143,1.488512221,47.64210601,27.77198439,29.62899702,47.51794327,15.0523174,27.39827569,39.97249757,16.48610303,32.86984328,12.65014265,34.81734781,53.60325529,0.498763053,19.90763734,32.9280302,2.264627666,0.0,5.452215758,0.794441806,3.496820111,0.859548395,6.71236218,0.0,0.084337415,0.0,1.800640182,0.162140908,1.004951789,1.526575843,0.758164591,84.94048183,40.89916753,78.84447049,36.76952054,106.7354465,39.51604355,119.2078525,40.5639002,115.249098,47.88424776,61.27984558,97.6792321,19.36703634,77.61945323,58.87926273,3.191910299,0.129026765,0.0,1.241777829,1.426459362
peptide antibiotic,395.0107039,7.017858648,7.194189669,0.42236671,1.864850932,2.375526974,1.70944141,0.746657582,5.759362495,30.69170477,4.694072423,0.175457439,46.32096462,0.137873302,24.69124533,0.198694642,8.206732361,0.220514894,0.294333738,97.26708486,2.583244691,239.1657548,2.813554102,35.86622918,1.496103845,49.26082116,6.538967629,39.99193184,0.244234608,2.474235099,1.741227531,0.247540685,0.303935901,0.278462009,8.331398651,5.003679589,501.2425142,502.9720772,3.41596042,0.92015106,54.33100826,3.682224016,18.52510429,4.61562228,20.61015907,12.67282392,1.842892006,1.735220233,9.465883504,1.69764497,0.218576086,0.836418197,0.345868122,1.13112358,0.033310653,0.703641556,25.95462196,0.333779488,17.22576307,1.29773352,520.347739,1.251303671,565.7647278,1.291321558,549.2428005,0.552799291,10.13152617,16.70067631,0.357609846,81.02359198,27.38949574,93.81822436,67.57437187,0.41026414,69.37138985,0.193491062,78.87487627,1.396511336,101.5144706,0.83890674,81.13225657,1.47877198,0.234349958,69.36569689,2.22834911,1.233286865,1.267795933,410.6490316,462.854216,19.28804075,536.4393651,11.34160176
phenicol antibiotic,2.932419877,1.839146148,2.437139639,18.86829698,0.790887816,1.04378264,2.378259007,0.379547554,85.85780717,66.4138568,80.70497901,1.307990374,155.71339,0.516621383,155.0132617,0.229337873,52.70435182,2.032090951,0.127700915,804.5559456,7.417587897,766.0077685,8.71629079,115.5078324,4.376400375,1269.09035,2.39134435,112.1943878,2.00914318,11.51693474,59.11738164,368.2014979,321.0029557,17.85136505,291.1180318,322.5236865,13.90069888,2.035588149,2.028639401,1.885719409,2.965160096,1.050564285,456.637203,3.440731963,620.433095,7.707089368,1682.385499,15.00344745,861.2513801,1048.496047,11.75914064,1875.878969,11.14083817,2.519528364,5.10692085,291.8718177,541.5554149,0.2672274,22.02282392,1.706950424,1.135501277,0.922130532,0.885736093,0.707573759,0.027763062,0.335465015,28.09198049,2.614703763,57.08825804,2.725549377,2.740763303,2.315868843,549.4326121,0.849067327,492.1238242,0.551408048,411.847416,1.087398773,379.723456,0.825429319,379.9312117,2.326517468,0.470799973,578.30732,59.2446451,196.6524682,284.2991316,36.76907731,25.33690378,0.178512065,7.635149733,0.646460776
pleuromutilin antibiotic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048770552,0.0,0.017721882,0.0,0.007504888,0.0,0.0,0.0,0.0,0.074053781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00841641,0.0,0.008124402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033794635,0.038268737,0.0,0.0,0.0,0.009281781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008388105,0.009248319,0.0,0.0,0.0,0.019970262,0.0,0.01905037,0.0,0.022075885,0.0,0.017590048,0.0,0.0,0.0,0.0,0.0,0.00845919,0.019723202,0.008424051,0.0,0.0,0.0,0.0,0.0,0.007225925,0.0,0.0,0.0,0.0,0.0,0.0,0.024508389,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rifamycin antibiotic,3.202514802,0.027659623,0.020414282,6.005743317,0.0071438,0.012219104,0.013884378,0.030935758,0.369625083,0.169057397,0.582923148,0.013276045,2.276279809,0.061843747,1.281714893,0.025562391,0.014208475,0.006864981,0.061640142,2.386374826,0.012858241,3.161286827,0.018008807,0.182359267,0.087385304,0.633322056,0.050440078,0.088244988,0.036517544,0.007488345,0.52281245,5.635530719,0.946360699,11.73645935,1.318893383,1.140299066,0.23864278,0.568536605,0.037975012,0.086005115,0.0,0.007039732,1.889841432,0.162011606,0.66537331,0.042240946,1.210250556,0.02606343,0.0,1.894748217,0.028836287,0.997132569,0.037702837,0.013856441,2.641269413,1.179434891,1.137491862,0.067321714,10.41432671,0.078491927,1.429420561,0.071545197,0.233996841,0.046120495,0.142833647,0.0,0.458812213,0.0,7.424346824,0.006200854,0.0,0.0,0.234998511,0.013267045,0.355632589,0.020679624,0.229520952,0.070371323,0.970741811,0.077612632,0.684029218,0.090267223,0.023879916,0.863501726,4.254404408,1.330244597,1.226800016,1.646164519,0.916769123,0.0,0.475400008,0.040477565
sulfonamide,0.0,0.069616399,0.042194394,20.73493328,0.115398036,0.018941801,0.021523274,0.057547162,240.909185519,78.62701729,242.8708599,0.857763541,340.009991817,1.325376964,147.142901,0.444077613,76.81916052,0.885206115,0.349633279,291.9602075,0.677371778,292.0608777,0.782324095,105.35864271800001,1.767130526,298.412356386,5.701246446,95.931900738,0.365206436,0.31080824,80.694992659,466.56302023300003,123.613445231,90.05436852400001,177.594960869,132.59717966099998,0.164435604,2.161810643,0.625681464,0.365368273,4.234111677,0.982236695,165.9422322,2.732926882,313.714851187,5.680549053,243.701922814,1.473665413,328.8723796,239.767764116,0.7858194,263.200109,0.82255378,0.53223711,55.933147958,115.132750221,115.60764649800001,0.596212505,14.26813309,0.681976471,0.189830778,1.600184983,0.039373638,2.732715765,0.0,0.82500283,0.703018713,0.356005863,0.627642223,0.019647151,0.137426182,0.0,407.016976346,0.08408656,385.47132090300005,1.562833005,375.636974664,1.446416748,392.1492159,1.27934823,373.510263199,0.328635794,0.170406429,455.054552618,86.801157232,114.4835121,130.97238088199998,12.52638067,0.085700435,19.42032925,6.089657002,0.043066536
tetracycline,0.608449873,91.07924879,93.80023983,0.679214555,188.622203,93.67631472,96.20966352,229.270836,186.7925911,293.5215988,172.8364274,328.7573608,257.1255362,302.5829174,201.0891474,303.9316173,182.6781577,348.1655239,328.6981393,219.5666673,383.5143845,327.8832616,390.8946016,166.555984,329.346781,146.3638998,311.0076309,205.6798262,301.039898,407.3951189,311.4767726,210.2944438,588.9855436,69.9525119,308.0576453,234.3552541,1.901153341,10.80041306,206.5812797,218.6169352,103.0600632,112.1684877,217.3390103,418.3566359,245.9953005,383.8539486,247.8747713,376.1459894,186.9767455,227.0040665,387.7842871,240.9364134,379.119114,354.4258485,20.49255247,251.6880745,550.8039804,218.4514806,24.37974013,231.1541074,15.94026063,225.1617514,24.001648,209.5511113,5.464892851,189.4364869,334.7928554,215.6273111,461.5238095,307.8455821,158.6396489,314.4477341,464.4476028,420.9562195,481.899343,424.812518,581.1529225,503.0539584,536.0991397,525.6476224,525.2570641,443.9406241,413.5547686,480.1849121,204.9959023,613.5871564,577.656729,21.13402542,2.155417127,313.2729843,53.91571971,202.4387745
triclosan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049518119,0.0,0.075557152,0.0,0.0,0.0,0.0,0.0,0.0,0.461917626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078984366,0.025350196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037365792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00926508,0.009506675,0.030791486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014956389,0.0,0.0,0.0,0.210842351,0.0,0.0,0.017364422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021966025,0.0,0.0,0.0,0.0,0.0,0.067381681,0.0
trimethoprim,0.647891193,2.830220337,2.548258388,0.952542075,3.466485433,0.451138269,0.915395341,1.372059964,27.32693147,9.138527228,32.43235963,0.249127153,75.14908075,0.11897993,129.1928498,0.035209344,111.4523359,0.072417178,0.227579913,43.42124817,0.203047118,81.76153766,0.220673326,4.116885543,0.11128878,28.96528619,0.033255082,5.345772183,0.0,0.274799553,9.41610428,7.09396838,24.77422801,0.444576298,6.990460433,9.614036116,0.675907501,3.725324066,2.971042996,3.477788149,1.23527249,0.631214994,28.68084066,0.702321302,46.21867266,1.748010405,38.08420442,0.309304576,82.8628404,37.49367996,0.152093833,48.42114806,0.099429737,0.511225983,0.056888773,7.862851011,43.79111645,0.867975761,14.74823906,3.876517877,0.32896141,3.025154108,0.265099526,3.301351624,2.890266944,0.652085311,303.877572,6.183945237,254.6833571,1.002723514,0.389417351,1.298125714,66.90501121,0.139102958,51.67134051,0.149120802,95.94331448,0.078854563,104.7918075,0.0,75.43179256,0.256142034,0.188546325,55.58827929,2.584192544,14.57296512,60.60983976,5.09970556,2.163802899,7.50904827,22.68527562,0.320241708
